ProbeName	SystematicName	BAL_NC_0261T	BAL_NC_1221V	BAL_NC_1431G	BAL_NC_1524N	
A_24_P66027	NM_004900	7.681	7.662	7.263	7.614	
A_32_P77178	A_32_P77178	5.934	5.95	6.346	5.949	
A_23_P212522	NM_014616	8.243	8.23	8.361	8.199	
A_24_P934473	BX537921	7.094	6.97	7.104	6.988	
A_24_P9671	NM_001539	12.43	12.72	12.65	12.67	
A_32_P29551	A_32_P29551	5.82	6.285	5.994	6.444	
A_24_P801451	NM_006709	7.457	7.682	7.577	7.508	
A_32_P30710	NM_000978	15.11	15.13	14.96	14.81	
A_32_P89523	A_32_P89523	5.928	5.985	6.083	6.61	
A_24_P704878	A_24_P704878	5.784	5.756	6.107	6.356	